AircraftId,Date,AircraftType,Origin,Destination,DepartureAEST,ArrivalAEST,Duration,,,,,,,,,,,,,,,,,,,
FD530,3/7/2022,PC12,Adelaide Int'l (ADL / YPAD),Whyalla (WYA / YWHA),12:24 am,12:59 am,35,,,,,,,,,,,,,,,,,,,
FD456,3/7/2022,BE20,Brisbane (BNE / YBBN),Goondiwindi (GOO / YGDI),8:35 pm,9:27 pm,52,,,,,,,,,,,,,,,,,,,
FD478,3/7/2022,BE20,Bundaberg (BDB / YBUD),Hervey Bay (HVB / YHBA),8:46 pm,8:59 pm,13,,,,,,,,,,,,,,,,,,,
FD416,3/7/2022,BE20,Normanton (YNTN),Mount Isa (ISA / YBMA),9:22 pm,10:17 pm,55,,,,,,,,,,,,,,,,,,,
FD478,3/7/2022,BE20,Hervey Bay (HVB / YHBA),Brisbane (BNE / YBBN),9:28 pm,10:07 pm,39,,,,,,,,,,,,,,,,,,,
FD602,3/7/2022,PC12,Kalgoorlie-Boulder (KGI / YPKG),Leonora (LNO / YLEO),10:11 pm,10:43 pm,32,,,,,,,,,,,,,,,,,,,
FD456,3/7/2022,BE20,Goondiwindi (GOO / YGDI),Toowoomba (YTWB),11:00 pm,11:34 pm,34,,,,,,,,,,,,,,,,,,,
FD602,3/7/2022,PC12,Leonora (LNO / YLEO),Kalgoorlie-Boulder (KGI / YPKG),11:08 pm,11:43 pm,35,,,,,,,,,,,,,,,,,,,
FD478,3/7/2022,BE20,Brisbane (BNE / YBBN),Bundaberg (BDB / YBUD),11:23 pm,12:15 am,52,,,,,,,,,,,,,,,,,,,
FD607,4/7/2022,PC12,Broome Int'l (BME / YBRM),Derby (DRB / YDBY),12:02 am,12:28 am,26,,,,,,,,,,,,,,,,,,,
FD596,4/7/2022,PC12,Port Lincoln (PLO / YPLC),Adelaide Int'l (ADL / YPAD),12:17 am,12:56 am,39,,,,,,,,,,,,,,,,,,,
FD629,4/7/2022,PC12,Jandakot (JAD / YPJT),Geraldton (GET / YGEL),1:03 am,2:09 am,66,,,,,,,,,,,,,,,,,,,
FD607,4/7/2022,PC12,Derby (DRB / YDBY),Darwin Int'l / RAAF (DRW / YPDN),1:07 am,3:19 am,132,,,,,,,,,,,,,,,,,,,
FD456,4/7/2022,BE20,Toowoomba (YTWB),Brisbane (BNE / YBBN),1:20 am,1:43 am,23,,,,,,,,,,,,,,,,,,,
FD530,4/7/2022,PC12,Whyalla (WYA / YWHA),Yorketown (YYOR),1:22 am,1:58 am,36,,,,,,,,,,,,,,,,,,,
FD602,4/7/2022,PC12,Kalgoorlie-Boulder (KGI / YPKG),Jandakot (JAD / YPJT),1:34 am,3:04 am,90,,,,,,,,,,,,,,,,,,,
FD530,4/7/2022,PC12,Yorketown (YYOR),Adelaide Int'l (ADL / YPAD),2:26 am,2:43 am,17,,,,,,,,,,,,,,,,,,,
FD449,4/7/2022,B350,Rockhampton (ROK / YBRK),Rockhampton (ROK / YBRK),7:38 am,8:46 am,68,,,,,,,,,,,,,,,,,,,
FD449,4/7/2022,B350,Rockhampton (ROK / YBRK),Barcaldine (BCI / YBAR),7:38 am,Diverted,NA,,,,,,,,,,,,,,,,,,,
FD478,4/7/2022,BE20,Bundaberg (BDB / YBUD),Brisbane (BNE / YBBN),9:20 am,9:58 am,38,,,,,,,,,,,,,,,,,,,
FD456,4/7/2022,BE20,Brisbane (BNE / YBBN),Roma (RMA / YROM),9:38 am,11:00 am,82,,,,,,,,,,,,,,,,,,,
FD449,4/7/2022,B350,Rockhampton (ROK / YBRK),Mackay (MKY / YBMK),10:33 am,11:34 am,61,,,,,,,,,,,,,,,,,,,
FD416,4/7/2022,BE20,Mount Isa (ISA / YBMA),Winton (WIN / YWTN),11:14 am,12:05 pm,51,,,,,,,,,,,,,,,,,,,
FD478,4/7/2022,BE20,Brisbane (BNE / YBBN),Bundaberg (BDB / YBUD),12:16 pm,1:09 pm,53,,,,,,,,,,,,,,,,,,,
FD630J,4/7/2022,PC24,Jandakot (JAD / YPJT),Paraburdoo (YPBO),12:24 pm,1:54 pm,90,,,,,,,,,,,,,,,,,,,
